Species,Authority,Common Name
Senecio viscosus,L.,Sticky Groundsel
Senecio aegyptius,L.,
Senecio arenarius,Thunb.,
Senecio bipinnatisectus,Belcher,Australian Fireweed
Senecio brasiliensis,Less.,
Senecio caracasanus,Klatt,
Senecio eboracensis,R.J. Abbott & A.J. Lowe,
Senecio elegans,L.,Purple Groundsel
Senecio gallicus,Chaix,French Groundsel
Senecio glastifolius,L. f.,Woad-leaved Ragwort
Senecio glomeratus,Desf. ex Poir.,Annual Fireweed
Senecio glossanthus,(Sond.) Belcher,Slender Groundsel
Senecio hieracioides,DC.,
Senecio juniperinus,L. f.,
Senecio leucanthemifolius,Poir.,
Senecio linearifolius,A. Rich.,Fireweed Groundsel
Senecio minimus,Poir.,Toothed Fireweed
Senecio nudiusculus,DC.,
Senecio oederiifolius,DC.,
Senecio pinnulatus,Thunb.,
Senecio pterophorus,DC.,Shoddy Ragwort
Senecio quadridentatus,Labill.,Cotton Fireweed
Pericallis hybrida,B. Nord.,Cineraria 
Tephroseris integrifolia,(L.) Holub,Field Fleawort
Tephroseris integrifolia subsp. integrifolia,,
Tephroseris integrifolia subsp. maritima,(Syme) B. Nord.,
Tephroseris palustris,(L.) Fourr.,Marsh Fleawort
Tephroseris palustris subsp. congesta,(R. Br.) Holub,
Delairea odorata,Lem.,German-ivy 
Brachyglottis monroi,(Hook. f.) B. Nord.,Monro's Ragwort
Brachyglottis repanda,J.R. Forst. & G. Forst.,Hedge Ragwort
Brachyglottis compacta x laxifolia = B. 'Sunshine',C. Jeffrey,Shrub Ragwort
Sinacalia tangutica,(Maxim.) B. Nord.,Chinese Ragwort
Ligularia dentata,(A. Gray) H. Hara,Leopardplant 
Ligularia przewalskii,(Maxim.) Diels,Przewalski's Leopardplant
Ligularia fischeri,(Ledeb.) Turcz.,
Ligularia japonica,(Thunb.) Less.,
Doronicum pardalianches,L.,Leopard's-bane 
Doronicum pardalianches x plantagineum = D. x willdenowii,(Rouy) A.W. Hill,Willdenow's Leopard's-bane
Doronicum pardalianches x plantagineum x columnae = D. x excelsum,(N.E. Br.) Stace,Harpur-Crewe's Leopard's-bane
Doronicum plantagineum,L.,Plantain-leaved Leopard's-bane
Doronicum columnae,Ten.,Eastern Leopard's-bane
Doronicum austriacum,Jacq.,Austrian Leopard's-bane
Doronicum orientale,Hoffm.,
Tussilago farfara,L.,Colt's-foot 
Petasites hybridus,"(L.) P. Gaertn., B. Mey. & Scherb.",Butterbur 
Petasites japonicus,(Siebold & Zucc.) Maxim.,Giant Butterbur
Petasites albus,(L.) Gaertn.,White Butterbur
Petasites fragrans,(Vill.) C. Presl,Winter Heliotrope
Petasites palmatus,(Aiton) A. Gray,Palmate-leaved Butterbur
Homogyne alpina,(L.) Cass.,Purple Colt's-foot
Calendula officinalis,L.,Pot Marigold
Calendula arvensis,L.,Field Marigold
Ambrosia artemisiifolia,L.,Ragweed 
Ambrosia psilostachya,DC.,Perennial Ragweed
Ambrosia acanthicarpa,Hook.,Hooker's Bur-ragweed
Ambrosia maritima,L.,
Ambrosia peruviana,Willd.,
Ambrosia tenuifolia,Spreng.,Lacy Ambrosia
Ambrosia trifida,L.,Giant Ragweed
Iva xanthiifolia,Nutt.,Marsh-elder 
Iva ambrosiifolia,(A. Gray) A. Gray,
Iva microcephala,Nutt.,
Xanthium strumarium,L.,Rough Cocklebur
Xanthium spinosum,L.,Spiny Cocklebur
Xanthium ambrosioides,Hook. & Arn.,Argentine Cocklebur
Sigesbeckia serrata,DC.,Western St Paul's-wort
Sigesbeckia microcephala,DC.,Pale Indian-weed
Sigesbeckia orientalis,L.,Eastern St Paul's-wort
Rudbeckia hirta,L.,Black-eyed-Susan 
Rudbeckia laciniata,L.,Coneflower 
Rudbeckia amplexicaulis,J. Vahl,Clasping-leaved Coneflower
Rudbeckia fulgida,Aiton,Perennial Coneflower
Rudbeckia triloba,L.,Thin-leaved Coneflower
Helianthus annuus,L.,Sunflower 
Helianthus annuus x decapetalus = H. x multiflorus,L.,Thin-leaved Sunflower
Helianthus tuberosus,L.,Jerusalem Artichoke
Helianthus tuberosus x pauciflorus = H. x laetiflorus,Pers.,Perennial Sunflower
Helianthus angustifolius,L.,Swamp Sunflower
Helianthus argophyllus,Torr. & A. Gray,Silver-leaf Sunflower
Helianthus bolanderi,A. Gray,Bolander's Sunflower
Helianthus debilis,Nutt.,
Helianthus decapetalus,L.,Thin-leaved Sunflower
Helianthus divaricatus,L.,Rough Sunflower
Helianthus hirsutus,Raf.,Bristly Sunflower
Helianthus maximilianii,Schrad.,Maximilian's Sunflower
Helianthus petiolaris,Nutt.,Lesser Sunflower
Helianthus strumosus,L.,Pale-leaved Sunflower
Galinsoga parviflora,Cav.,Gallant Soldier
Galinsoga quadriradiata,Ruiz & Pav.,Shaggy Soldier
Bidens cernua,L.,Nodding Bur-marigold
Bidens tripartita,L.,Trifid Bur-marigold
Bidens connata,Muhl. ex Willd.,London Bur-marigold
Bidens frondosa,L.,Beggarticks 
Bidens aristosa,(Michx.) Britton,Western Tickseed
Bidens bipinnata,L.,Spanish-needles 
Bidens biternata,(Lour.) Merr. & Sherff,
Bidens camporum,(Hutch.) Mesfin,
Bidens ferulifolia,(Jacq.) DC.,Fern-leaved Beggarticks
Bidens laevis,"(L.) Britton, Sterns & Poggenb.",Larger Bur-marigold
Bidens pilosa,L.,Black-jack 
Bidens subalternans,DC.,
Bidens tenuisecta,A. Gray,
Bidens vulgata,Greene,Tall Beggarticks
Coreopsis grandiflora,Hogg ex Sweet,Large-flowered Tickseed
Coreopsis nuecensis,A. Heller,
Coreopsis tinctoria,Nutt.,Garden Tickseed
Coreopsis verticillata,L.,Whorled Tickseed
Cosmos bipinnatus,Cav.,Mexican Aster
Gaillardia aristata,Pursh,Blanket-flower 
Gaillardia aristata x pulchella = G. x grandiflora,hort. ex Van Houtte,Blanketflower 
Helenium autumnale,L.,Sneezeweed 
Helenium quadridentatum,Labill.,
Eupatorium cannabinum,L.,Hemp-agrimony 
Acanthospermum australe,(Loefl.) Kuntze,Spiny-bur 
Acanthospermum glabratum,(DC.) Wild,
Ageratum houstonianum,Mill.,Flossflower 
Agoseris grandiflora,(Nutt.) Greene,
Amberboa moschata,(L.) DC.,Sweet-sultan 
Amellus microglossus,DC.,
Amellus strigosus,(Thunb.) Less.,
Ammobium alatum,R. Br.,
Anacyclus clavatus,(Desf.) Pers.,
Anacyclus radiatus,Loisel.,
Anacyclus valentinus,L.,
Andryala integrifolia,L.,
Arctotis breviscapa,Thunb.,
Arctotis stoechadifolia,Bergius,White Arctotis
Argyranthemum frutescens,(L.) Sch. Bip.,Paris Daisy
Arctotheca calendula,(L.) Levyns,Plain Treasureflower
Arnica angustifolia,J. Vahl,Arctic Arnica
Asteriscus aquaticus,(L.) Less.,
Asteriscus maritimus,(L.) Less.,
Athanasia crithmifolia,L.,
Athanasia trifurcata,L.,
Atractylis cancellata,L.,
Atractylis humilis,L.,
Bahia dissecta,(A. Gray) Britton,
Bahia neomexicana,(A. Gray) A. Gray,New Mexico Bahia
Bellium bellidioides,L.,False Daisy
Berkheya heterophylla,(Thunb.) O. Hoffm.,
Berkheya pinnatifida,(Thunb.) Thell.,
Berkheya rigida,"(Thunb.) Ewart, J.W. White & Rees",African Thistle
Boltonia asteroides,(L.) L'Hér.,False Chamomile
Bombycilaena erecta,(L.) Smoljan.,Micropus 
Brachyscome ciliaris,(Labill.) Less.,Variable Daisy
Brachyscome graminea,(Labill.) F. Muell.,
Brachyscome iberidifolia,Benth.,Swan River Daisy
Brachyscome perpusilla,(Steetz) J.M. Black,Tiny Daisy
Buphthalmum salicifolium,L.,
Callistephus chinensis,(L.) Nees,China Aster
Calocephalus knappii,(F. Muell.) Ewart & J.W. White,
Calotis cuneifolia,R. Br.,Bur-daisy 
Calotis dentex,R. Br.,White Bur-daisy
Calotis hispidula,(F. Muell.) F. Muell.,Hairy Bur-daisy
Calotis lappulacea,Benth.,Yellow Bur-daisy
Calycadenia multiglandulosa,DC.,Sticky Calycadenia
Carduncellus caeruleus,(L.) C. Presl,
Carthamus dentatus,(Forssk.) J. Vahl,
Carthamus lanatus,L.,Downy Safflower
Carthamus oxyacanthus,M. Bieb.,
Carthamus tenuis,(Boiss. & Blanchet) Bornm.,
Carthamus tinctorius,L.,Safflower 
Cassinia fulvida,Hook. f.,Golden-bush 
Catananche caerulea,L.,Blue Cupidone
Centipeda minima,(L.) A. Braun & Asch.,Spreading Sneezeweed
Chevreulia sarmentosa,(Pers.) Blake,
Chondrilla juncea,L.,Skeletonweed 
Chrysogonum virginianum,L.,Golden-knee 
Cineraria aspera,Thunb.,
Cineraria burkei,Burtt Davy,
Cineraria geifolia,L.,
Cineraria lobata,L'Hér.,
Cineraria lyrata,DC.,
Cladanthus arabicus,(L.) Cass.,
Cnicus benedictus,L.,Blessed Thistle
Coleostephus myconis,(L.) Rchb. f.,
Cousinia tenella,(Fisch. & C.A. Mey. ex A. DC.) Fisch. & C.A. Mey.,
Crassocephalum sarcobasis,(DC.) S. Moore,
Crupina crupinastrum,(Moris) Vis.,
Crupina vulgaris,Cass.,False Saw-wort
Cuspidia cernua,(L. f.) B.L. Burtt,
Cyanopsis muricata,(L.) Dostál,
Cynara cardunculus,L.,Globe Artichoke
Dahlia x cultorum,"hort., nom. nud.",Garden Dahlia
Dahlia pinnata,Cav.,Dahlia 
Dendranthema coreanum,"hort., nom. nud.",Korean Chrysanthemum
Dendranthema x grandiflorum,(Ramat.) Kitam.,Florists' Chrysanthemum
Dendranthema zawadskii,(Herbich) Tzvelev,
Dichrocephala chrysanthemifolia,DC.,
Dichrocephala integrifolia,(L. f.) Kuntze,
Dimorphotheca pluvialis,(L.) Moench,Cape Rain-daisy
Dimorphotheca sinuata,DC.,Namaqualand Daisy
Eclipta prostrata,(L.) L.,
Emilia javanica,(Burm. f.) C.B. Rob.,Tassel-flower 
Epaltes australis,Less.,Spreading Nut-heads
Facelis retusa,(Lam.) Sch. Bip.,
Felicia abyssinica,Sch. Bip. ex A. Rich.,
Felicia amelloides,(DC.) Voss,Blue Marguerite
Felicia amoena,(Sch. Bip.) Levyns,
Felicia angustifolia,(Jacq.) Nees,
Felicia bergeriana,(Spreng.) O. Hoffm.,Kingfisher Daisy
Felicia heterophylla,(Cass.) Grau,
Felicia tenella,(L.) Nees,
Flaveria bidentis,(L.) Kuntze,Speedy-weed 
Galactites tomentosus,Moench,
Guizotia abyssinica,(L. f.) Cass.,Niger 
Hedypnois cretica,(L.) Dum. Cours.,Scaly Hawkbit
Heliopsis helianthoides,(L.) Sweet,Rough Oxeye
Hemizonia fasciculata,(DC.) Torr. & A. Gray,Fascicled Spikeweed
Hemizonia fitchii,A. Gray,Fitch's Spikeweed
Hemizonia kelloggii,Greene,Kellogg's Spikeweed
Hemizonia pungens,Torr. & A. Gray,Common Spikeweed
Hemizonia ramosissima,Benth.,Slender Spikeweed
Heterotheca subaxillaris,(Lam.) Britton & Rusby,Camphorweed 
Heterorhachis aculeata,(Burm. f.) Roessler,
Hyalosperma glutinosa,Steetz,Golden Sunray
Ismelia carinata,(Schousb.) Sch. Bip.,Tricolour Chrysanthemum
Isoetopsis graminifolia,Turcz.,Grass-cushion 
Lasiospermum bipinnatum,(Thunb.) Druce,Royal Down-flower
Lasthenia glabrata,Lindl.,Yellow-rayed Lasthenia
Lasthenia platycarpha,(A. Gray) Greene,Alkali Goldfields
Layia chrysanthemoides,(DC.) A. Gray,Smooth Layia
Leontopodium alpinum,Cass.,Edelweiss 
Leptorhynchos squamatus,(Labill.) Less.,Scaly-buttons 
Leysera capillifolia,(Desf.) Spreng.,
Leysera tenella,DC.,
Liatris ligulistylis,(A. Nelson) A. Nelson,
Lonas annua,(L.) Vines & Druce,African Daisy
Madia glomerata,Hook.,Mountain Tarweed
Madia sativa,Molina,Coast Tarweed
Mantisalca salmantica,(L.) Briq. & Cavill.,
Micropsis spathulata,(Pers.) Cabrera,
Millotia muelleri,(Sond.) P.S. Short,Common Bow-flower
Millotia myosotidifolia,(Benth.) Steetz,Broad-leaved Millotia
Millotia perpusilla,(Turcz.) P.S. Short,Tiny Bow-flower
Millotia tenuifolia,Cass.,Soft Millotia
Myriocephalus rhizocephalus,(DC.) Benth.,Tufted Woolly-heads
Neopallasia pectinata,(Pall.) Poljakov,
Notobasis syriaca,(L.) Cass.,Syrian Thistle
Oncosiphon grandiflorum,(Thunb.) Källersjö,
Oncosiphon piluliferum,(L. f.) Källersjö,Stink-net 
Oncosiphon suffruticosum,(L.) Källersjö,
Osteospermum jucundum,(E. Phillips) Norl.,Osteospermum 
Othonna angustifolia,DC.,
Parasenecio hastata,L.,
Parthenium hysterophorus,L.,Santa-Maria 
Pentzia calcarea,Kies,
Pentzia cooperi,Harv.,
Pentzia incana,(Thunb.) Kuntze,
Perezia multiflora,(Humb. & Bonpl.) Less.,
Podolepis gracilis,(Lehm.) Graham,Slender Podolepis
Podolepis longipedata,A. Cunn. ex DC.,Tall Copper-wire-daisy
Prenanthes purpurea,L.,Purple Lettuce
Ratibida columnifera,(Nutt.) Wooton & Standl.,Prairie Coneflower
Reichardia tingitana,(L.) Roth,
Rhagadiolus stellatus,(L.) Gaertn.,Star Hawkbit
Rhodanthe charsleyae,(F. Muell.) Paul G. Wilson,
Rhodanthe corymbiflora,(Schltdl.) Paul G. Wilson,
Rhodanthe floribunda,(DC.) Paul G. Wilson,Flowery Sunray
Rhodanthe manglesii,Lindl.,Pink Sunray
Rhodanthe moschata,(A. Cunn. ex DC.) Paul G. Wilson,Musk Sunray
Sanvitalia procumbens,Lam.,
Schkuhria pinnata,(Lam.) Kuntze,Dwarf Marigold
Scolymus grandiflorus,Desf.,
Scolymus hispanicus,L.,Golden Thistle
Scolymus maculatus,L.,
Silphium perfoliatum,L.,Cup-plant 
Simsia foetida,(Cav.) Blake,
Soliva anthemifolia,(Juss.) Sweet,Button Onehunga-weed
Soliva macrocephala,Cabrera,
Soliva pterosperma,(Juss.) Less.,
Soliva sessilis,Ruiz & Pav.,Onehunga-weed 
Soliva stolonifera,(Brot.) R. Br. ex G. Don,Carpet Burweed
Spilanthes decumbens,(Sm.) A.H. Moore,
Stevia paniculata,Lag.,
Stuartina hamata,Philipson,Hooked Cudweed
Stuartina muelleri,Sond.,Spoon-leaved Cudweed
Tagetes erecta,L.,African Marigold
Tagetes erythrocephala,Rusby,
Tagetes gracilis,DC.,
Tagetes micrantha,Cav.,
Tagetes minuta,L.,Southern Marigold
Tagetes patula,L.,French Marigold
Tagetes tenuifolia,Cav.,Signet Marigold
Thelesperma trifidum,(Poir.) Britton,Fine-leaved Thelesperma
Tolpis barbata,(L.) Gaertn.,
Triptilodiscus pygmaeus,Turcz.,Common Sunray
Troglophyton parvulum,(Harv.) Hilliard & B.L. Burtt,
Urospermum dalechampii,(L.) Scop. ex F.W. Schmidt,
Urospermum picroides,(L.) Scop. ex F.W. Schmidt,
Vellereophyton dealbatum,(Thunb.) Hilliard & B.L. Burtt,White Cudweed
Verbesina australis,(Hook. & Arn. ex DC.) Baker,
Verbesina encelioides,(Cav.) Benth. & Hook. f. ex A. Gray,Golden Crownbeard
Villanova dissecta,(Hook.) DC.,
Vittadinia triloba,(Gaudich.) DC.,Fuzzweed 
Volutaria lippii,(L.) Maire,
Xeranthemum annuum,L.,Immortelle 
Xeranthemum cylindraceum,Sibth. & Sm.,
Xeranthemum inapertum,(L.) Mill.,
Zinnia elegans,Jacq.,Youth-and-age 
Zinnia peruviana,(L.) L.,
Zoegea leptaurea,L.,
Butomus umbellatus,L.,Flowering-rush 
Hydrocleys nymphoides,(Willd.) Buchenau,Water-poppy 
Sagittaria sagittifolia,L.,Arrowhead 
Sagittaria latifolia,Willd.,Duck-potato 
Sagittaria rigida,Pursh,Canadian Arrowhead
Sagittaria subulata,(L.) Buchenau,Narrow-leaved Arrowhead
Sagittaria graminea,Michx.,Grass-leaved Arrowhead
Baldellia ranunculoides,(L.) Parl.,Lesser Water-plantain
Luronium natans,(L.) Raf.,Floating Water-plantain
Alisma plantago-aquatica,L.,Water-plantain 
Alisma plantago-aquatica x lanceolatum = A. x rhicnocarpum,Schotsman,
Alisma lanceolatum,With.,Narrow-leaved Water-plantain
Alisma gramineum,Lej.,Ribbon-leaved Water-plantain
Damasonium alisma,Mill.,Starfruit 
Caldesia parnassiifolia,(L.) Parl.,Parnassus-leaved Water-plantain
Hydrocharis morsus-ranae,L.,Frogbit 
Stratiotes aloides,L.,Water-soldier 
Egeria densa,Planch.,Large-flowered Waterweed
Elodea canadensis,Michx.,Canadian Waterweed
Elodea nuttallii,(Planch.) H. St. John,Nuttall's Waterweed
Elodea callitrichoides,(Rich.) Casp.,South American Waterweed
Hydrilla verticillata,(L. f.) Royle,Hydrilla 
Lagarosiphon major,(Ridl.) Moss ex V.A. Wager,Curly Waterweed
Vallisneria spiralis,L.,Tapegrass 
Aponogeton distachyos,L. f.,Cape-pondweed 
Scheuchzeria palustris,L.,Rannoch-rush 
Triglochin palustre,L.,Marsh Arrowgrass
Triglochin maritimum,L.,Sea Arrowgrass
Potamogeton natans,L.,Broad-leaved Pondweed
Potamogeton natans x polygonifolius = P. x gessnacensis,G. Fisch.,
Potamogeton natans x nodosus = P. x schreberi,G. Fisch.,
Potamogeton natans x lucens = P. x fluitans,Roth,
Potamogeton natans x gramineus = P. x sparganiifolius,Laest. ex Fr.,Ribbon-leaved Pondweed
Potamogeton natans x berchtoldii = P. x variifolius,Thore,
Potamogeton polygonifolius,Pourr.,Bog Pondweed
Potamogeton polygonifolius x gramineus = P. x lanceolatifolius,(Tiselius) C.D. Preston,
Potamogeton coloratus,Hornem.,Fen Pondweed
Potamogeton coloratus x gramineus = P. x billupsii,Fryer,
Potamogeton coloratus x berchtoldii = P. x lanceolatus,Sm.,
Potamogeton nodosus,Poir.,Loddon Pondweed
Potamogeton lucens,L.,Shining Pondweed
Potamogeton lucens x gramineus = P. x angustifolius,J. Presl,Long-leaved Pondweed
Potamogeton lucens x alpinus = P. x nerviger,Wolfg.,
Potamogeton lucens x perfoliatus = P. x salicifolius,Wolfg.,Willow-leaved Pondweed
Potamogeton lucens x crispus = P. x cadburyae,Dandy & G. Taylor,
Potamogeton gramineus,L.,Various-leaved Pondweed
Potamogeton gramineus x alpinus = P. x nericius,Hagstr.,
Potamogeton gramineus x perfoliatus = P. x nitens,Weber,Bright-leaved Pondweed
Potamogeton alpinus,Balb.,Red Pondweed
Potamogeton alpinus x praelongus = P. x griffithii,A. Benn.,
Potamogeton alpinus x perfoliatus = P. x prussicus,Hagstr.,
Potamogeton alpinus x crispus = P. x olivaceus,Baagøe ex G. Fisch.,Graceful Pondweed
Potamogeton praelongus,Wulfen,Long-stalked Pondweed
Potamogeton praelongus x perfoliatus = P. x cognatus,Asch. & Graebn.,
Potamogeton praelongus x crispus = P. x undulatus,Wolfg.,
Potamogeton perfoliatus,L.,Perfoliate Pondweed
Potamogeton perfoliatus x crispus = P. x cooperi,(Fryer) Fryer,Cooper's Pondweed
Potamogeton epihydrus,Raf.,American Pondweed
Potamogeton friesii,Rupr.,Flat-stalked Pondweed
Potamogeton friesii x acutifolius = P. x pseudofriesii,Dandy & G. Taylor,
Potamogeton friesii x crispus = P. x lintonii,Fryer,Linton's Pondweed
Potamogeton rutilus,Wolfg.,Shetland Pondweed
Potamogeton pusillus,L.,Lesser Pondweed
Potamogeton pusillus x trichoides = P. x grovesii,Dandy & G. Taylor,
Potamogeton obtusifolius,Mert. & W.D.J. Koch,Blunt-leaved Pondweed
Potamogeton berchtoldii,Fieber,Small Pondweed
Potamogeton berchtoldii x acutifolius = P. x sudermanicus,Hagstr.,
Potamogeton trichoides,Cham. & Schltdl.,Hairlike Pondweed
Potamogeton trichoides x crispus = P. x bennettii,Fryer,
Potamogeton compressus,L.,Grass-wrack Pondweed
Potamogeton acutifolius,Link,Sharp-leaved Pondweed
Potamogeton crispus,L.,Curled Pondweed
Potamogeton filiformis,Pers.,Slender-leaved Pondweed
Potamogeton filiformis x pectinatus = P. x suecicus,K. Richt.,Swedish Pondweed
Potamogeton pectinatus,L.,Fennel Pondweed
Potamogeton pectinatus x vaginatus = P. x bottnicus,Hagstr.,
Groenlandia densa,(L.) Fourr.,Opposite-leaved Pondweed
Ruppia maritima,L.,Beaked Tasselweed
Ruppia cirrhosa,(Petagna) Grande,Spiral Tasselweed
Najas flexilis,(Willd.) Rostk. & W.L.E. Schmidt,Slender Naiad
Najas marina,L.,Holly-leaved Naiad
Najas marina subsp. intermedia,(Wolfg. ex Gorski) Casper,
Najas graminea,Delile,
Zannichellia palustris,L.,Horned Pondweed
Zannichellia palustris subsp. palustris,,
Zannichellia palustris subsp. pedicellata,(Wahlenb. & Rosén) Syme,
Zostera marina,L.,Eelgrass 
Zostera noltei,Hornem.,Dwarf Eelgrass
Phoenix dactylifera,L.,Date 
Trachycarpus fortunei,(Hook.) H. Wendl.,Chusan Palm
Acorus calamus,L.,Sweet-flag 
Acorus gramineus,Aiton,Slender Sweet-flag
Lysichiton americanus,Hultén & H. St. John,American Skunk-cabbage
Lysichiton camtschatcensis,(L.) Schott,Asian Skunk-cabbage
Calla palustris,L.,Bog Arum
Zantedeschia aethiopica,(L.) Spreng.,Altar-lily 
Arum maculatum,L.,Lords-and-Ladies 
Arum maculatum x italicum,,
Arum italicum,Mill.,Italian Lords-and-Ladies
Arum italicum subsp. neglectum,(F. Towns.) Prime,
Arum italicum subsp. italicum,,
Arum italicum subsp. canariense,(Webb & Berthel.) Boyce,
Dracunculus vulgaris,Schott,Dragon Arum
Arisarum proboscideum,(L.) Savi,Mousetailplant 
Amorphophallus rivieri,Durieu,Umbrella Arum
Colocasia esculenta,(L.) Schott,Taro 
Dieffenbachia seguine,(Jacq.) Schott,Dumb-cane 
Pistia stratiotes,L.,Water-lettuce 
Spirodela polyrhiza,(L.) Schleid.,Greater Duckweed
Lemna gibba,L.,Fat Duckweed
Lemna minor,L.,Common Duckweed
Lemna trisulca,L.,Ivy-leaved Duckweed
Lemna minuta,Kunth,Least Duckweed
Wolffia arrhiza,(L.) Horkel ex Wimm.,Rootless Duckweed
Tradescantia virginiana,L.,Spiderwort 
Tradescantia fluminensis,Vell.,Wandering-jew 
Tradescantia pallida,(Rose) T.E. Hunt,Purple-heart 
Tradescantia zebrina,hort. ex Bosse,Inch-plant 
Commelina coelestis,Willd.,Blue Spiderwort
Commelina communis,L.,
Commelina diffusa,Burm. f.,Creeping Spiderwort
Commelina elliptica,Kunth,Peruvian Spiderwort
Commelina virginica,L.,
Eriocaulon aquaticum,(Hill) Druce,Pipewort 
Juncus squarrosus,L.,Heath Rush
Juncus tenuis,Willd.,Slender Rush
Juncus compressus,Jacq.,Round-fruited Rush
Juncus gerardii,Loisel.,Saltmarsh Rush
Juncus trifidus,L.,Three-leaved Rush
Juncus foliosus,Desf.,Leafy Rush
Juncus bufonius,L.,Toad Rush
Juncus ambiguus,Guss.,Frog Rush
Juncus planifolius,R. Br.,Broad-leaved Rush
Juncus capitatus,Weigel,Dwarf Rush
Juncus subnodulosus,Schrank,Blunt-flowered Rush
Juncus alpinoarticulatus,Chaix,Alpine Rush
Juncus alpinoarticulatus x articulatus = J. x buchenaui,Dörfl.,
Juncus articulatus,L.,Jointed Rush
Juncus articulatus x acutiflorus = J. x surrejanus,Druce ex Stace & Lambinon,
Juncus acutiflorus,Ehrh. ex Hoffm.,Sharp-flowered Rush
Juncus bulbosus,L.,Bulbous Rush
Juncus pygmaeus,Rich. ex Thuill.,Pigmy Rush
Juncus biglumis,L.,Two-flowered Rush
Juncus triglumis,L.,Three-flowered Rush
Juncus castaneus,Sm.,Chestnut Rush
Juncus maritimus,Lam.,Sea Rush
Juncus acutus,L.,Sharp Rush
Juncus subulatus,Forssk.,Somerset Rush
Juncus balticus,Willd.,Baltic Rush
Juncus balticus x inflexus,,
Juncus balticus x effusus = J. x obotritorum,Rothm.,
Juncus filiformis,L.,Thread Rush
Juncus inflexus,L.,Hard Rush
Juncus inflexus x effusus = J. x diffusus,Hoppe,
Juncus inflexus x pallidus,,
Juncus effusus,L.,Soft-rush 
Juncus effusus x conglomeratus = J. x kern-reichgeltii,Jansen & Wacht. ex Reichg.,
Juncus effusus x pallidus,,
Juncus conglomeratus,L.,Compact Rush
Juncus pallidus,R. Br.,Great Soft-rush
Juncus bufonius agg.,,
Juncus aridicola,L.A.S. Johnson,Tussock Rush
Juncus australis,Hook. f.,Austral Rush
Juncus continuus,L.A.S. Johnson,
Juncus distegus,Edgar,
Juncus ensifolius,Wikstr.,Sword-leaved Rush
Juncus flavidus,L.A.S. Johnson,
Juncus gregiflorus,L.A.S. Johnson,
Juncus hybridus,Brot.,
Juncus imbricatus,Laharpe,
Juncus involucratus,Steud.,
Juncus ochrocoleus,L.A.S. Johnson,
Juncus oxycarpus,E. Mey.,
Juncus pauciflorus,R. Br.,Loose-flowered Rush
Juncus procerus,E. Mey.,
Juncus radula,Buchenau,Hoary Rush
Juncus sarophorus,L.A.S. Johnson,
Juncus subsecundus,N.A. Wakef.,Fingered Rush
Juncus uruguensis,Griseb.,
Juncus usitatus,L.A.S. Johnson,
Juncus vaginatus,R. Br.,Clustered Rush
Luzula forsteri,(Sm.) DC.,Southern Wood-rush
Luzula forsteri x pilosa = L. x borreri,Bromf. ex Bab.,
Luzula pilosa,(L.) Willd.,Hairy Wood-rush
Luzula sylvatica,(Huds.) Gaudin,Great Wood-rush
Luzula luzuloides,(Lam.) Dandy & Wilmott,White Wood-rush
Luzula campestris,(L.) DC.,Field Wood-rush
Luzula multiflora,(Ehrh.) Lej.,Heath Wood-rush
Luzula multiflora subsp. multiflora,,
Luzula multiflora subsp. congesta,(Thuill.) Arcang.,
Luzula multiflora subsp. hibernica,Kirschner & T.C.G. Rich,
Luzula pallidula,Kirschner,Fen Wood-rush
Luzula arcuata,(Wahlenb.) Sw.,Curved Wood-rush
Luzula spicata,(L.) DC.,Spiked Wood-rush
Luzula nivea,(L.) DC.,Snow-white Wood-rush
Eriophorum angustifolium,Honck.,Common Cottongrass
Eriophorum latifolium,Hoppe,Broad-leaved Cottongrass
Eriophorum gracile,W.D.J. Koch ex Roth,Slender Cottongrass
Eriophorum vaginatum,L.,Hare's-tail Cottongrass
Trichophorum alpinum,(L.) Pers.,Cotton Deergrass
Trichophorum cespitosum,(L.) Hartm.,Deergrass 
Trichophorum cespitosum subsp. germanicum,(Palla) Hegi,
Trichophorum cespitosum subsp. cespitosum,,
Eleocharis palustris,(L.) Roem. & Schult.,Common Spike-rush
Eleocharis palustris subsp. vulgaris,Walters,
Eleocharis palustris subsp. palustris,,
Eleocharis palustris x uniglumis,,
Eleocharis mamillata,(H. Lindb.) H. Lindb.,Northern Spike-rush
Eleocharis mamillata subsp. austriaca,(Hayek) Strandh.,
Eleocharis uniglumis,(Link) Schult.,Slender Spike-rush
Eleocharis multicaulis,(Sm.) Desv.,Many-stalked Spike-rush
Eleocharis quinqueflora,(Hartmann) O. Schwarz,Few-flowered Spike-rush
Eleocharis acicularis,(L.) Roem. & Schult.,Needle Spike-rush
Eleocharis parvula,"(Roem. & Schult.) Link ex Bluff, Nees & Schauer",Dwarf Spike-rush
Eleocharis nodulosa,(Roth) Schult.,
Bolboschoenus maritimus,(L.) Palla,Sea Club-rush
Scirpus sylvaticus,L.,Wood Club-rush
Scirpus inundatus,(R. Br.) Poir.,Swamp Club-rush
Scirpus nodosus,Rottb.,Knotted Club-rush
Scirpoides holoschoenus,(L.) Soják,Round-headed Club-rush
Schoenoplectus lacustris,(L.) Palla,Common Club-rush
Schoenoplectus lacustris x triqueter = S. x carinatus,(Sm.) Palla,
Schoenoplectus tabernaemontani,(C.C. Gmel.) Palla,Grey Club-rush
